filename,label,signal_labels,bbox,width,height
IMG_1750.JPG,RED,15,"282,69,293,90",480,480
IMG_1751.JPG,RED,15,"156,88,167,110",480,480
IMG_1752.JPG,RED,15,"6,109,19,135",480,480
IMG_1753.JPG,NONE,,,480,480
IMG_1754.JPG,NONE,,,480,480
IMG_1755.JPG,NONE,,,480,480
IMG_1756.JPG,GREEN,16,"289,65,301,87",480,480
IMG_1757.JPG,GREEN,16,"136,82,149,106",480,480
IMG_1758.JPG,NONE,,,480,480
IMG_1759.JPG,RED,15,"16,82,26,99",480,480
IMG_1760.JPG,RED,15,"157,54,169,74",480,480
IMG_1761.JPG,RED,15,"270,85,279,104",480,480
IMG_1762.JPG,NONE,,,480,480
IMG_1763.JPG,NONE,,,480,480
IMG_1764.JPG,NONE,,,480,480
IMG_1765.JPG,GREEN,16,"223,98,242,125",480,480
IMG_1766.JPG,NONE,,,480,480
IMG_1767.JPG,GREEN,16,"136,79,154,107",480,480
IMG_1768.JPG,NONE,,,480,480
IMG_1770.JPG,RED,15,"57,63,73,93",480,480
IMG_1771.JPG,GREEN,16,"25,92,37,110",480,480
IMG_1772.JPG,GREEN,16,"160,81,170,101",480,480
IMG_1773.JPG,GREEN,16,"261,112,272,131",480,480
IMG_1774.JPG,NONE,,,480,480
IMG_1775.JPG,GREEN,16,"257,115,266,132",480,480
IMG_1776.JPG,GREEN,16,"183,105,193,122",480,480
IMG_1777.JPG,NONE,,,480,480
IMG_1778.JPG,GREEN,16,"65,91,76,109",480,480
IMG_1779.JPG,NONE,,,480,480
IMG_1780.JPG,RED,15,"43,90,56,119",480,480
IMG_1781.JPG,RED,15,"142,59,160,90",480,480
IMG_1782.JPG,GREEN,16,"279,81,297,110",480,480
IMG_1783.JPG,NONE,,,480,480
IMG_1784.JPG,GREEN,16,"261,63,275,94",480,480
IMG_1785.JPG,GREEN,16,"137,44,154,74",480,480
IMG_1786.JPG,NONE,,,480,480
IMG_1787.JPG,GREEN,16,"56,64,69,91",480,480
IMG_1788.JPG,NONE,,,480,480
IMG_1789.JPG,GREEN,16,"228,72,244,106",480,480
IMG_1790.JPG,GREEN,16,"229,66,248,100",480,480
IMG_1791.JPG,NONE,,,480,480
IMG_1792.JPG,GREEN,16,"149,52,164,81",480,480
IMG_1793.JPG,NONE,,,480,480
IMG_1794.JPG,GREEN,16,"50,56,63,83",480,480
IMG_1795.JPG,NONE,,,480,480
IMG_1796.JPG,GREEN,16,"302,106,314,125",480,480
IMG_1797.JPG,NONE,,,480,480
IMG_1798.JPG,NONE,,,480,480
IMG_1799.JPG,NONE,,,480,480
IMG_1800.JPG,NONE,,,480,480
IMG_1801.JPG,GREEN,16,"35,93,47,113",480,480
IMG_1802.JPG,NONE,,,480,480
IMG_1803.JPG,GREEN,16,"268,99,277,117",480,480
IMG_1804.JPG,NONE,,,480,480
IMG_1805.JPG,NONE,,,480,480
IMG_1806.JPG,NONE,,,480,480
IMG_1807.JPG,RED,15,"290,68,302,90",480,480
IMG_1808.JPG,RED,15,"167,85,178,104",480,480
IMG_1809.JPG,RED,15,"36,97,46,118",480,480
IMG_1810.JPG,NONE,,,480,480
IMG_1811.JPG,NONE,,,480,480
IMG_1812.JPG,GREEN,16,"396,77,411,106",480,480
IMG_1813.JPG,GREEN,16,"275,76,288,103",480,480
IMG_1814.JPG,NONE,,,480,480
IMG_1815.JPG,GREEN,16,"129,88,142,115",480,480
IMG_1816.JPG,NONE,,,480,480
IMG_1817.JPG,NONE,,,480,480
IMG_1818.JPG,NONE,,,480,480
IMG_1819.JPG,NONE,,,480,480
IMG_1820.JPG,RED,15,"371,76,386,106",480,480
IMG_1821.JPG,RED,15,"241,95,256,124",480,480
IMG_1822.JPG,RED,15,"129,60,145,91",480,480
IMG_1823.JPG,NONE,,,480,480
IMG_1824.JPG,NONE,,,480,480
IMG_1825.JPG,NONE,,,480,480
IMG_1826.JPG,NONE,,,480,480
IMG_1827.JPG,NONE,,,480,480
IMG_1828.JPG,NONE,,,480,480
IMG_1829.JPG,RED,15,"357,94,366,106",480,480
IMG_1830.JPG,NONE,,,480,480
IMG_1831.JPG,RED,15,"214,119,222,132",480,480
IMG_1832.JPG,NONE,,,480,480
IMG_1833.JPG,RED,15,"74,47,81,59",480,480
IMG_1834.JPG,RED,15,"68,45,80,62",480,480
IMG_1835.JPG,NONE,,,480,480
IMG_1836.JPG,NONE,,,480,480
IMG_1837.JPG,NONE,,,480,480
IMG_1838.JPG,NONE,,,480,480
IMG_1839.JPG,NONE,,,480,480
IMG_1840.JPG,NONE,,,480,480
IMG_1841.JPG,NONE,,,480,480
IMG_1842.JPG,NONE,,,480,480
IMG_1843.JPG,NONE,,,480,480
IMG_1844.JPG,NONE,,,480,480
IMG_1845.JPG,GREEN,16,"343,89,351,103",480,480
IMG_1846.JPG,GREEN,16,"205,91,211,103",480,480
IMG_1847.JPG,GREEN,16,"49,69,58,87",480,480
IMG_1848.JPG,GREEN,16,"103,94,114,111",480,480
IMG_1849.JPG,NONE,,,480,480
IMG_1850.JPG,GREEN,16,"202,85,209,101",480,480
IMG_1851.JPG,NONE,,,480,480
IMG_1852.JPG,GREEN,16,"311,98,318,114",480,480
IMG_1853.JPG,NONE,,,480,480
